Embedding Model,LLM Model,Faithfulness,Answer Relevancy,Context Precision,Context Recall
BGE Base,llama3.2,0.586567885,0.657909448,0.916666667,0.933333333
BGE Base ,qwen2.5,0.770596405,0.777210403,0.916666667,0.933333333
BGE Base,gemma3,0.712380952,0.585134675,0.916666667,0.933333333
BERT Base,llama3.2,0.420744949,0.33750755,0.208333333,0.283333333
BERT Base,qwen2.5,0.498859649,0.289829853,0.208333333,0.283333333
BERT Base,gemma3,0.489341737,0.458270947,0.208333333,0.283333333
All-MiniLM L6,llama3.2,0.716944444,0.734489805,0.85,0.875
All-MiniLM L6,qwen2.5,0.728253968,0.675784587,0.85,0.875
All-MiniLM L6,gemma3,0.754837662,0.619671973,0.85,0.875
